count,mean,std,min,25%,50%,75%,max
38.0,50.02894736842106,4.426694691194203,42.2,46.8,48.9,53.099999999999994,61.2
12.0,51.349999999999994,4.224495666510221,45.9,48.175,50.0,54.5,58.0
32.0,49.278125,3.729545018951654,43.0,46.45,49.15,51.625,58.3
11.0,49.645454545454534,6.956775637659106,35.7,47.0,49.3,51.7,64.5
42.0,39.34761904761905,5.13705990199662,29.7,36.4,39.05,41.625,53.6
22.0,44.90909090909091,4.03483747131324,36.8,43.474999999999994,45.2,46.95,52.2
35.0,39.71714285714285,5.311778571875776,27.1,36.55,39.4,43.5,50.7
18.0,48.50555555555556,4.784591963944043,39.3,45.725,47.7,52.475,57.1
