,umbral_test_positivo,total_tts_pos,n_validos,n_faltantes,n_positivos_<umbral,n_negativos_≥umbral,%_pos_sobre_tts_pos,%_neg_sobre_tts_pos,%_faltantes_sobre_tts_pos
velocidad_total_pre,< 45.0,74.0,67.0,7.0,5.0,62.0,6.76,83.78,9.46
velocidad_segmentaria_pre,< 45.0,74.0,73.0,1.0,67.0,6.0,90.54,8.11,1.35
